Category,Item,Price,Description
Appetizers 🍲,Hummus,5.99,"Fine blended chickpeas, sesame seed paste, garlic, lemon juice, and olive oil,
                                        served with 1 pita bread."
Appetizers 🍲,Eggplant Dip,6.99,"Warm roasted eggplant mixed with sautéed onions, garlic and crusted mint. Topped
                                        with yogurt & comes with 1 pita bread."
Appetizers 🍲,Grape Leaves,4.99,"3 grape leaves stuffed with rice, served with garlic sauce."
Appetizers 🍲,Fetacheese,7.99,Served with pita bread.
Appetizers 🍲,Kibi,3.5,
Appetizers 🍲,Fried Mushroom,7.99,Freshly battered and fried.
Appetizers 🍲,Fried Zucchini,7.99,Freshly battered and fried.
Appetizers 🍲,Tah Dig,1.99,Bottom of the pan crusted rice.
Salads 🥗,Lamb Gyro Salad,14.99,"Slice of lamb, Iceberg lettuce, slice of tomato with cucumber, topped with fetta
                                        cheese, olive oil & lemon juice dressing."
Salads 🥗,Beef Filet Kabob Salad,18.99,"Tender chunks of beef ribeye with grilled tomato, bell pepper, onion & garden
                                        salad."
Salads 🥗,Chicken Breast Kabob Salad,14.99,"Juicy chunks of chicken breast with grilled tomato, bell pepper, onion & garden
                                        salad."
Entrées 🍴,Koobideh Kabob,13.99,"Two skewers of seasoned, juicy ground beef kabob. Served with Persian rice &
                                        grilled tomatoes."
Entrées 🍴,Chicken Koobideh,13.99,"Two skewers of ground chicken kabob. Served with Persian rice & grilled
                                        tomatoes."
Entrées 🍴,Ground Chicken & Ground Beef Kabob,13.99,"One skewer of ground beef kabob & one skewer of ground chicken kabob with Persian
                                        rice & grilled tomatoes."
Entrées 🍴,Chicken Breast Kabob,13.99,"Grilled chicken breast with grilled tomato, bell pepper, & onion. Served with
                                        Persian rice."
Entrées 🍴,Beef Shish Kabob Filet,17.99,"Tender chunks of beef ribeye with grilled tomato, bell pepper, onion & Persian
                                        rice."
Entrées 🍴,Lamb Kabob,18.99,"Chunk of tender lamb served with Persian rice, grilled tomato, bell pepper,
                                        zucchini, squash & onion."
Entrées 🍴,Lamb Shank,17.99,Shank of lamb cooked and served in a homemade tomato sauce & rice.
Entrées 🍴,Chicken & Lamb Gyro Plate,16.99,"Slices of chicken, lamb with garlic sauce on top, hummus, Persian rice & pita
                                        bread."
Entrées 🍴,Lamb Gyro Plate,13.99,"Slices of lamb gyro, hummus, and pita with garlic sauce & Persian rice."
Entrées 🍴,Chicken Showarma Plate,13.99,"Slices of chicken breast, topped with garlic sauce, with a side of hummus, rice &
                                        pita bread."
